function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;flops;
810;libc.so.6;timer_settime;;0.95;0.21;;;;;;;"0,0,0,0,100,0,0,0,0,0,0";timer_settime;;
308154;libtorch_cpu.so;mkl_vml_kernel_sSqrt_Z0HAynn;;0.9;0.2;;;;;;;"0,0,0,100,0,0,0,0,0,0,0";mkl_vml_kernel_sSqrt_Z0HAynn;;
18;ld-linux-x86-64.so.2;__tls_get_addr;;0.88;0.2;;;;;;;"0,0,0,0,100,0,0,0,0,0,0";__tls_get_addr;;
4171;python3.9;collect;tupleobject.c:179-189,gcmodule.c:81-81,gcmodule.c:87-87,gcmodule.c:227-234,gcmodule.c:273-285,gcmodule.c:292-303,gcmodule.c:312-314,gcmodule.c:324-324,gcmodule.c:625-629,gcmodule.c:640-644,gcmodule.c:655-655,gcmodule.c:672-679,gcmodule.c:694-697,gcmodule.c:723-724,gcmodule.c:752-752,gcmodule.c:764-770,gcmodule.c:782-785,gcmodule.c:796-796,gcmodule.c:804-806,gcmodule.c:839-839,gcmodule.c:851-851,gcmodule.c:862-875,gcmodule.c:892-897,gcmodule.c:926-927,gcmodule.c:961-969,gcmodule.c:987-994,gcmodule.c:1002-1005,gcmodule.c:1012-1012,gcmodule.c:1028-1035,gcmodule.c:1160-1160,gcmodule.c:1172-1175,gcmodule.c:1181-1184,gcmodule.c:1194-1218,gcmodule.c:1226-1227,gcmodule.c:1247-1247,gcmodule.c:1254-1254,gcmodule.c:1272-1284,gcmodule.c:1299-1303,gcmodule.c:1313-1323,gcmodule.c:1331-1331,object.h:128-128,object.h:408-408,object.h:422-422,object.h:430-430,typeobject.c:1412-1415,typeobject.c:1425-1433,typeobject.c:3764-3764,dictobject.c:989-999,dictobject.c:1006-1010,pycore_object.h:74-80,pycore_object.h:99-99,pycore_object.h:112-114;0.88;0.2;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";collect;;
126323;libtorch_cpu.so;c10::impl::OperatorEntry::lookup(c10::DispatchKeySet) const;;0.86;0.19;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZNK3c104impl13OperatorEntry6lookupENS_14DispatchKeySetE;;
4115;python3.9;lookdict_unicode_nodummy;eq.h:17-24,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:874-874,dictobject.c:880-909;0.84;0.19;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";lookdict_unicode_nodummy;;
271885;libtorch_cpu.so;void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::mul_kernel(at::TensorIteratorBase&)::{lambda()#4}::operator()() const::{lambda()#13}::operator()() const::{lambda(float, float)#1}, at::native::(anonymous namespace)::mul_kernel(at::TensorIteratorBase&)::{lambda()#4}::operator()() const::{lambda()#4}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec)#2}> >(long, char**, long const*, long, long);;0.82;0.18;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c1012function_refIFvPPcPKlllEE11callback_fnIN2at6native4AVX216VectorizedLoop2dIZZZNS9_12_GLOBAL__N_110mul_kernelERNS8_18TensorIteratorBaseEENKUlvE2_clEvENKUlvE11_clEvEUlffE_ZZZNSC_10mul_kernelESE_ENKSF_clEvENKSG_clEvEUlNS8_3vec4AVX210VectorizedIfEESL_E0_EEEEvlS2_S4_ll;;
4285;python3.9;PyObject_GetAttr;object.c:880-883,object.c:889-890,object.c:901-901,object.c:1280-1280;0.77;0.17;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";PyObject_GetAttr;;
4315;python3.9;_PyObject_GetMethod;pycore_pystate.h:55-55,object.c:1035-1038,object.c:1086-1113,object.c:1121-1126,object.c:1133-1133,object.c:1140-1160,object.h:408-408,object.h:422-422,object.h:430-430,object.h:496-496,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298;0.73;0.16;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";_PyObject_GetMethod;;
4197;python3.9;find_name_in_mro;pycore_pystate.h:55-55,eq.h:17-24,object.h:408-408,object.h:422-422,object.h:628-628,typeobject.c:3185-3194,typeobject.c:3201-3211,typeobject.c:3222-3240,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:880-906,dictobject.c:1439-1448;0.64;0.14;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";find_name_in_mro;;
4263;python3.9;frame_dealloc;pycore_pystate.h:55-55,object.c:2125-2131,object.c:2139-2141,object.c:2205-2210,object.h:422-422,object.h:430-430,object.h:496-496,frameobject.c:574-616,pycore_object.h:74-79;0.64;0.14;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";frame_dealloc;;
4134;python3.9;_PyDict_GetItemIdWithError;unicodeobject.c:2305-2316,eq.h:17-24,object.h:628-628,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:880-906,dictobject.c:1439-1448,dictobject.c:1484-1492;0.6;0.13;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";_PyDict_GetItemIdWithError;;
813;libc.so.6;__libc_free;;0.57;0.13;;;;;;;"0,0,0,0,0,0,0,0,100,0,0";__libc_free;;
4273;python3.9;lookdict_unicode;eq.h:17-24,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:831-831,dictobject.c:837-867;0.55;0.12;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";lookdict_unicode;;
4304;python3.9;function_code_fastcall;object.c:1824-1824,object.c:2205-2209,object.h:128-133,object.h:408-408,object.h:422-422,object.h:487-487,call.c:311-311,call.c:326-342,frameobject.c:778-780,frameobject.c:786-794,frameobject.c:801-806,frameobject.c:816-824,frameobject.c:833-836,frameobject.c:842-852,frameobject.c:858-862,frameobject.c:894-905,frameobject.c:917-926,pycore_ceval.h:40-40,typeobject.c:1412-1415,typeobject.c:1425-1433;0.55;0.12;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";function_code_fastcall;;
107436;libtorch_cpu.so;c10::intrusive_ptr<c10::TensorImpl, c10::UndefinedTensorImpl>::reset_();;0.51;0.11;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c1013intrusive_ptrINS_10TensorImplENS_19UndefinedTensorImplEE6reset_Ev;;
4172;python3.9;deduce_unreachable;gcmodule.c:87-87,gcmodule.c:93-93,gcmodule.c:108-108,gcmodule.c:228-228,gcmodule.c:412-413,gcmodule.c:466-469,gcmodule.c:552-553,gcmodule.c:564-565,gcmodule.c:574-587,gcmodule.c:599-603,gcmodule.c:609-619,gcmodule.c:1084-1084,gcmodule.c:1133-1133;0.51;0.11;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";deduce_unreachable;;
268477;libtorch_cpu.so;void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::addcmul_cpu_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, float, float)#1}, at::native::(anonymous namespace)::addcmul_cpu_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec, at::vec)#2}> >(long, char**, long const*, long, long);;0.49;0.11;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c1012function_refIFvPPcPKlllEE11callback_fnIN2at6native4AVX216VectorizedLoop2dIZZZNS9_12_GLOBAL__N_1L18addcmul_cpu_kernelERNS8_18TensorIteratorBaseERKNS_6ScalarEENKUlvE0_clEvENKUlvE5_clEvEUlfffE_ZZZNSC_L18addcmul_cpu_kernelESE_SH_ENKSI_clEvENKSJ_clEvEUlNS8_3vec4AVX210VectorizedIfEESO_SO_E0_EEEEvlS2_S4_ll;;
4302;python3.9;_PyFunction_Vectorcall;pycore_pystate.h:55-55,call.c:348-348,call.c:354-374,call.c:380-396,call.c:404-404;0.49;0.11;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";_PyFunction_Vectorcall;;
29683;libtorch_python.so;torch::FunctionSignature::parse(_object*, _object*, _object*, _object**, std::vector<_object*, std::allocator<_object*> >&, bool);;0.46;0.1;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch17FunctionSignature5parseEP7_objectS2_S2_PS2_RSt6vectorIS2_SaIS2_EEb;;
4283;python3.9;tupledealloc;pycore_pystate.h:55-55,tupleobject.c:229-255,gcmodule.c:256-263,gcmodule.c:2241-2241,gcmodule.c:2350-2359,object.c:2125-2131,object.c:2139-2141,object.c:2205-2210,object.h:128-128,object.h:422-422,object.h:496-496,pycore_object.h:74-79;0.46;0.1;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";tupledealloc;;
115634;libtorch_cpu.so;at::native::copy_impl(at::Tensor&, at::Tensor const&, bool);;0.42;0.09;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at6nativeL9copy_implERNS_6TensorERKS1_b;;
4245;python3.9;_PyEval_EvalCode;genobject.c:819-819,pycore_pystate.h:55-55,cellobject.c:11-14,ceval.c:3960-3960,ceval.c:3967-3983,ceval.c:3996-3999,ceval.c:4085-4085,ceval.c:4093-4097,ceval.c:4108-4127,ceval.c:4133-4156,ceval.c:4165-4168,ceval.c:4174-4180,ceval.c:4186-4188,ceval.c:4195-4201,ceval.c:4207-4207,ceval.c:4214-4218,ceval.c:4224-4244,ceval.c:4250-4261,ceval.c:4278-4286,ceval.c:4293-4321,ceval.c:4339-4349,object.c:738-738,object.c:745-749,object.c:1824-1824,object.c:2205-2209,object.h:128-133,object.h:408-408,object.h:422-422,object.h:430-430,object.h:487-487,object.h:496-496,object.h:628-628,frameobject.c:778-780,frameobject.c:786-794,frameobject.c:801-810,frameobject.c:816-824,frameobject.c:833-836,frameobject.c:842-852,frameobject.c:858-862,frameobject.c:894-905,frameobject.c:914-926,pycore_ceval.h:40-40,typeobject.c:1412-1415,typeobject.c:1425-1433,pycore_object.h:39-39,pycore_object.h:46-52;0.42;0.09;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";_PyEval_EvalCode;;
4178;python3.9;dict_traverse;gcmodule.c:81-81,gcmodule.c:117-117,gcmodule.c:449-449,typeobject.c:3764-3764,pycore_object.h:112-114,dictobject.c:3126-3153;0.38;0.08;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";dict_traverse;;
4530;python3.9;PyEval_RestoreThread;pycore_pystate.h:82-82,ceval.c:464-471,pystate.c:980-982;0.38;0.08;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";PyEval_RestoreThread;;
4152;python3.9;PyType_IsSubtype;typeobject.c:1412-1441;0.35;0.08;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";PyType_IsSubtype;;
108903;libtorch_cpu.so;at::TensorIteratorBase::compute_types(at::TensorIteratorConfig const&);;0.33;0.07;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at18TensorIteratorBase13compute_typesERKNS_20TensorIteratorConfigE;;
4347;python3.9;PyObject_RichCompare;pycore_pystate.h:55-55,object.c:663-680,object.c:686-688,object.c:694-702,object.c:710-718,object.c:725-726,object.h:128-128,object.h:408-408,object.h:422-422,object.h:628-628,longobject.c:3060-3070,longobject.c:3079-3084,pycore_ceval.h:73-73,pycore_ceval.h:83-83,pycore_ceval.h:94-94,typeobject.c:1412-1415,typeobject.c:1425-1433;0.33;0.07;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";PyObject_RichCompare;;
4183;python3.9;visit_reachable;gcmodule.c:93-93,gcmodule.c:99-100,gcmodule.c:241-249,gcmodule.c:478-483,gcmodule.c:490-490,gcmodule.c:497-497,gcmodule.c:506-518,gcmodule.c:534-534,pycore_object.h:112-114;0.33;0.07;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";visit_reachable;;
685;libc.so.6;__pthread_mutex_lock;;0.31;0.07;;;;;;;"0,0,0,0,0,100,0,0,0,0,0";__pthread_mutex_lock;;
315823;libtorch_cpu.so;mkl_blas_avx512_sgemm_kernel_nocopy_NN_b0;;0.31;0.07;;;;;;;"0,0,0,100,0,0,0,0,0,0,0";mkl_blas_avx512_sgemm_kernel_nocopy_NN_b0;;
4123;python3.9;PyTuple_New;pycore_pystate.h:55-55,tupleobject.c:68-76,tupleobject.c:88-93,tupleobject.c:101-107,tupleobject.c:115-120,tupleobject.c:126-126,object.c:1824-1824,object.h:133-133,object.h:408-409,pycore_object.h:39-39,pycore_object.h:46-51;0.29;0.06;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";PyTuple_New;;
952;libc.so.6;memcpy;;0.29;0.06;;;;;;;"0,0,0,0,0,0,0,0,100,0,0";memcpy;;
9;ld-linux-x86-64.so.2;_dl_rtld_di_serinfo;;0.29;0.06;;;;;;;"0,0,0,0,100,0,0,0,0,0,0";_dl_rtld_di_serinfo;;
108905;libtorch_cpu.so;at::TensorIteratorBase::populate_operands(at::TensorIteratorConfig&);;0.26;0.06;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at18TensorIteratorBase17populate_operandsERNS_20TensorIteratorConfigE;;
4195;python3.9;_PyObject_GenericSetAttrWithDict;descrobject.c:213-213,descrobject.c:231-231,object.c:768-769,object.c:775-779,object.c:1033-1049,object.c:1286-1293,object.c:1300-1300,object.c:1307-1311,object.c:1324-1333,object.c:1349-1350,object.c:1356-1356,object.h:128-128,object.h:408-408,object.h:422-422,object.h:430-430,object.h:496-496,object.h:628-628,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3288,typeobject.c:3298-3298,dictobject.c:322-322,dictobject.c:332-333,dictobject.c:652-661,dictobject.c:1304-1313,dictobject.c:1320-1333,dictobject.c:1554-1573,dictobject.c:1628-1635,dictobject.c:4809-4833,dictobject.c:4848-4849,dictobject.c:4855-4855,dictobject.c:4861-4870;0.26;0.06;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";_PyObject_GenericSetAttrWithDict;;
4131;python3.9;PyType_GenericAlloc;pycore_pystate.h:55-55,gcmodule.c:1394-1402,gcmodule.c:1439-1442,gcmodule.c:2256-2260,gcmodule.c:2269-2287,objimpl.h:69-69,objimpl.h:84-84,object.c:1824-1824,obmalloc.c:99-99,obmalloc.c:572-572,obmalloc.c:680-685,obmalloc.c:1434-1439,obmalloc.c:1445-1447,obmalloc.c:1604-1621,obmalloc.c:1630-1630,obmalloc.c:1641-1647,string3.h:85-85,object.h:133-143,object.h:408-408,typeobject.c:1043-1055,typeobject.c:1061-1061,typeobject.c:1068-1072,pycore_object.h:39-39,pycore_object.h:46-51;0.26;0.06;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";PyType_GenericAlloc;;
4387;python3.9;property_descr_get;pycore_pystate.h:55-55,pycore_pystate.h:82-82,abstract.h:73-74,abstract.h:114-118,abstract.h:185-185,descrobject.c:1563-1576,string3.h:52-52,pycore_pyerrors.h:14-14,call.c:38-39,call.c:53-57,call.c:359-367,call.c:380-396,object.h:408-408;0.24;0.05;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";property_descr_get;;
4264;python3.9;_PyObject_MakeTpCall;pycore_pystate.h:55-55,memoryobject.c:2972-2972,tupleobject.c:68-76,tupleobject.c:88-93,tupleobject.c:416-416,tupleobject.c:424-428,object.c:1824-1824,object.c:2205-2209,pycore_pyerrors.h:14-14,object.h:133-133,object.h:408-408,object.h:422-422,object.h:430-430,object.h:628-628,call.c:38-39,call.c:57-57,call.c:150-150,call.c:157-177,call.c:189-201,call.c:918-926,pycore_ceval.h:73-73,pycore_ceval.h:83-83,pycore_ceval.h:94-94,typeobject.c:988-994,typeobject.c:1002-1009,typeobject.c:1016-1029,typeobject.c:1412-1415,typeobject.c:1425-1433,typeobject.c:3862-3863,typeobject.c:3876-3876,dictobject.c:1340-1340,dictobject.c:1346-1347,pycore_object.h:39-39,pycore_object.h:46-51;0.24;0.05;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";_PyObject_MakeTpCall;;
2110;libstdc++.so.6.0.32;operator new(unsigned long);;0.24;0.05;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_Znwm;;
108913;libtorch_cpu.so;at::TensorIteratorBase::build(at::TensorIteratorConfig&);;0.24;0.05;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at18TensorIteratorBase5buildERNS_20TensorIteratorConfigE;;
20203;libtorch_python.so;c10::impl::PyObjectSlot::check_pyobj(c10::impl::PyInterpreter*, bool) const;;0.24;0.05;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZNK3c104impl12PyObjectSlot11check_pyobjEPNS0_13PyInterpreterEb;;
1620;libc10.so;c10::impl::ExcludeDispatchKeyGuard::ExcludeDispatchKeyGuard(c10::DispatchKeySet);;0.24;0.05;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c104impl23ExcludeDispatchKeyGuardC1ENS_14DispatchKeySetE;;
4223;python3.9;dict_dealloc;pycore_pystate.h:55-55,gcmodule.c:2241-2241,object.c:2125-2131,object.c:2139-2141,object.c:2205-2210,object.h:128-128,object.h:422-422,object.h:496-496,pycore_object.h:74-79,dictobject.c:332-333,dictobject.c:594-606,dictobject.c:2007-2038;0.24;0.05;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";dict_dealloc;;
4102;python3.9;unicode_decode_utf8;codecs.h:29-35,codecs.h:43-63,codecs.h:82-101,codecs.h:107-137,codecs.h:143-154,codecs.h:162-230,codecs.h:236-251,unicodeobject.c:1439-1445,unicodeobject.c:1451-1452,unicodeobject.c:1463-1465,unicodeobject.c:1471-1472,unicodeobject.c:2134-2153,unicodeobject.c:4966-4967,unicodeobject.c:4979-5024,unicodeobject.c:5031-5056,unicodeobject.c:5064-5102,unicodeobject.c:5110-5132,unicodeobject.c:5138-5151,unicodeobject.c:5161-5173,unicodeobject.c:13953-13954,objimpl.h:69-69,object.c:1824-1824,obmalloc.c:99-99,obmalloc.c:572-572,obmalloc.c:680-685,obmalloc.c:1434-1438,obmalloc.c:1445-1447,obmalloc.c:1604-1621,obmalloc.c:1630-1630,obmalloc.c:1641-1647,string3.h:52-52,string3.h:85-85,object.h:133-138,object.h:408-409,object.h:422-422,object.h:430-430,object.h:496-496;0.24;0.05;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";unicode_decode_utf8;;
15552;libtorch_python.so;pybind11::cpp_function::dispatcher(_object*, _object*, _object*);;0.22;0.05;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN8pybind1112cpp_function10dispatcherEP7_objectS2_S2_;;
15505;libtorch_python.so;pybind11::detail::get_internals();;0.22;0.05;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN8pybind116detail13get_internalsEv;;
4383;python3.9;lookup_maybe_method;unicodeobject.c:2305-2316,object.h:408-409,object.h:422-422,object.h:430-430,typeobject.c:1476-1490,typeobject.c:1498-1498,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309;0.22;0.05;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";lookup_maybe_method;;
