ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 1037;python3.9;ceval.c:4150-4153,ceval.c:4156-4156,ceval.c:4165-4168,ceval.c:4174-4177,ceval.c:4180-4180,ceval.c:4186-4186,ceval.c:4201-4201,ceval.c:4207-4207,ceval.c:4214-4214,ceval.c:4341-4341,object.c:738-738,object.c:745-749,object.h:408-408,object.h:422-422,object.h:628-628,frameobject.c:917-917;_PyEval_EvalCode;Outermost;0.22;0.22;0.28;1.00;1.00;13.37;2.10;41;0.00;11.85;30.40;30.40;30.40;2.27;14.50
Loop 308;_tree.cpython-39-x86_64-linux-gnu.so;;__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_dense(__pyx_obj_7sklearn_4tree_5_tree_Tree*, _object*);Outermost;0.2;0.2;0.26;1.00;1.00;12.38;3.25;5;0.00;11.61;3.25;3.25;3.25;0.26;1.00
Loop 1074;python3.9;ceval.c:5084-5085,object.c:2205-2205,object.c:2209-2210,object.h:422-422;_PyEval_EvalFrameDefault;Outermost;0.18;0.18;0.24;1.00;1.00;8.00;2.00;5;0.00;12.50;8.00;8.00;8.00;1.00;4.00
Loop 1302;python3.9;unicodeobject.c:2306-2316,string3.h:52-52,call.c:471-477,call.c:484-495,object.h:408-408,object.h:422-422,object.h:430-430,typeobject.c:1478-1482,typeobject.c:1489-1490,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309,typeobject.c:6966-6966,typeobject.c:6974-6979,typeobject.c:6988-6988;slot_tp_init;Single;0.14;0.14;0.18;1.00;1.00;17.40;2.91;1;0.00;10.61;37.80;37.80;37.80;2.17;13.00
Loop 1143;python3.9;tupleobject.c:236-237,object.c:2205-2205,object.c:2209-2210,object.h:422-422,object.h:496-496;tupledealloc;Outermost;0.14;0.14;0.18;1.00;1.00;8.00;1.80;6;0.00;12.50;7.20;7.20;7.20;0.90;4.00
Loop 2404;python3.9;unicodeobject.c:2305-2316,object.c:1280-1280,object.h:408-408,object.h:422-422,object.h:430-430,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309,typeobject.c:6790-6790,typeobject.c:6802-6803,typeobject.c:6809-6818;slot_tp_getattr_hook;Single;0.13;0.13;0.17;1.00;1.00;16.88;2.38;1;0.00;10.04;48.80;48.80;48.80;2.89;20.50
Loop 879;python3.9;pycore_pystate.h:55-55,gcmodule.c:256-262,gcmodule.c:2355-2360,obmalloc.c:127-127,obmalloc.c:595-595,obmalloc.c:709-709,obmalloc.c:1420-1422,obmalloc.c:1679-1686,obmalloc.c:1692-1708,obmalloc.c:1715-1719,obmalloc.c:1738-1738,obmalloc.c:1749-1749,obmalloc.c:1756-1756,obmalloc.c:1762-1762,obmalloc.c:1768-1780,obmalloc.c:1786-1793,obmalloc.c:1807-1811,obmalloc.c:1825-1842,obmalloc.c:1865-1865,obmalloc.c:1878-1883,obmalloc.c:1897-1897,obmalloc.c:1923-1923;PyObject_GC_Del;Single;0.12;0.12;0.15;3.03;1.00;7.63;3.03;1;3.08;11.92;34.80;11.50;34.80;4.56;11.50
Loop 1066;python3.9;ceval.c:5084-5085,object.c:2205-2205,object.c:2209-2210,object.h:422-422;_PyEval_EvalFrameDefault;Outermost;0.11;0.11;0.14;1.00;1.00;8.00;2.15;5;0.00;12.50;8.60;8.60;8.60;1.07;4.00
Loop 1255;python3.9;unicodeobject.c:2773-2777,unicodeobject.c:2781-2784,unicodeobject.c:2795-2802,unicodeobject.c:2807-2808,unicodeobject.c:2811-2811,unicodeobject.c:2816-2816,unicodeobject.c:2822-2833,unicodeobject.c:2837-2839,unicodeobject.c:2842-2845,unicodeobject.c:2848-2848,unicodeobject.c:2868-2876,unicodeobject.c:2879-2879,unicodeobject.c:2882-2883,unicodeobject.c:2886-2893,unicodeobject.c:2896-2896,unicodeobject.c:2901-2901,unicodeobject.c:2904-2905,unicodeobject.c:2908-2920,unicodeobject.c:2923-2923,unicodeobject.c:2932-2932,unicodeobject.c:2936-2938,unicodeobject.c:2946-2946,unicodeobject.c:3036-3036,unicodeobject.c:3045-3048,unicodeobject.c:3071-3073,unicodeobject.c:3080-3080,unicodeobject.c:3084-3084,unicodeobject.c:3088-3088,unicodeobject.c:3093-3096,unicodeobject.c:3109-3110,unicodeobject.c:14143-14144,unicodeobject.c:14148-14148,unicodeobject.c:14151-14152,unicodeobject.c:14155-14159,unicodeobject.c:14162-14162,unicodeobject.c:14165-14165,unicodeobject.c:14172-14172,unicodeobject.c:14177-14177,unicodeobject.c:14185-14185,unicodeobject.c:14195-14195,stdio2.h:34-34,string3.h:52-52;PyUnicode_FromFormatV;InBetween;0.11;0.11;0.14;1.00;1.00;28.21;3.17;1;0.00;8.67;125.40;125.40;125.40;4.45;39.50
Loop 798;python3.9;eq.h:17-21,dictobject.c:344-344,dictobject.c:350-350,dictobject.c:353-353,dictobject.c:360-360,dictobject.c:890-890,dictobject.c:893-893,dictobject.c:905-906;lookdict_unicode_nodummy;InBetween;0.09;0.09;0.12;1.00;1.00;13.18;1.54;1;0.00;9.66;5.40;5.40;5.40;0.41;3.50
Loop 1261;python3.9;unicodeobject.c:3083-3083,unicodeobject.c:3090-3092;PyUnicode_FromFormatV;Innermost;0.09;0.09;0.12;1.00;NA;NA;1.07;1;NA;NA;1.60;1.60;NA;NA;1.50
Loop 1003;python3.9;object.c:2205-2210,object.h:422-422,object.h:496-496,dictobject.c:596-598;dict_dealloc;Single;0.09;0.09;0.12;1.00;1.00;8.00;2.24;9;0.00;12.50;5.60;5.60;5.60;0.70;2.50
Loop 1131;python3.9;unicodeobject.c:2306-2316,pycore_pystate.h:55-55,classobject.c:105-114,_functoolsmodule.c:1259-1259,object.h:408-408,object.h:422-422,object.h:430-430,typeobject.c:1463-1472,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309,pycore_object.h:39-39,pycore_object.h:46-51;_PyObject_LookupSpecial;Single;0.09;0.09;0.12;2.73;1.00;12.97;2.73;1;2.56;11.18;30.00;11.00;30.00;2.31;11.00
Loop 371;_tree.cpython-39-x86_64-linux-gnu.so;;__pyx_f_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_build(__pyx_obj_7sklearn_4tree_5_tree_DepthFirstTreeBuilder*, __pyx_obj_7sklearn_4tree_5_tree_Tree*, _object*, __Pyx_memviewslice, int, __pyx_opt_args_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_build*);Single;0.09;0.09;0.11;1.81;1.72;6.71;5.29;1408;17.68;13.83;60.80;33.50;35.38;9.06;11.50
Loop 838;python3.9;eq.h:17-24,dictobject.c:344-344,dictobject.c:350-350,dictobject.c:353-353,dictobject.c:360-360,dictobject.c:890-890,dictobject.c:893-893,dictobject.c:901-901,dictobject.c:905-906;_PyDict_GetItemIdWithError;InBetween;0.08;0.08;0.1;1.00;NA;NA;1.00;3;0.00;11.46;1.00;1.00;NA;NA;1.00
Loop 1040;python3.9;ceval.c:4252-4261,object.h:408-408,object.h:496-496;_PyEval_EvalCode;Single;0.07;0.08;0.1;1.00;1.00;8.00;1.53;2;0.00;12.50;2.30;2.30;2.30;0.29;1.50
Loop 1070;python3.9;ceval.c:5084-5085,object.c:2205-2205,object.c:2209-2210,object.h:422-422;_PyEval_EvalFrameDefault;Outermost;0.07;0.07;0.09;1.00;1.00;8.00;2.10;5;0.00;12.50;8.40;8.40;8.40;1.05;4.00
Loop 1173;python3.9;call.c:380-383,call.c:388-388,call.c:396-396,call.c:404-404;_PyFunction_Vectorcall;Outermost;0.07;0.07;0.09;1.00;1.00;14.06;6.00;1;0.00;10.94;6.00;6.00;6.00;0.43;1.00
Loop 1241;python3.9;pycore_pystate.h:55-55,tupleobject.c:397-398,object.c:663-668,object.c:672-674,object.c:678-680,object.c:714-714,object.c:725-725,object.c:738-738,object.c:746-749,object.h:128-128,object.h:408-408,object.h:422-422,object.h:628-628,longobject.c:3060-3066,longobject.c:3079-3079,pycore_ceval.h:73-73,pycore_ceval.h:83-83,pycore_ceval.h:94-94,typeobject.c:1425-1426,typeobject.c:1431-1432;tuplecontains;Outermost;0.06;0.06;0.09;1.00;1.00;22.34;2.05;214;0.00;10.28;32.80;32.80;32.80;1.47;16.00
Loop 1072;python3.9;ceval.c:5084-5085,object.c:2205-2205,object.c:2209-2210,object.h:422-422;_PyEval_EvalFrameDefault;Outermost;0.06;0.06;0.08;1.00;1.00;8.00;2.00;5;0.00;12.50;8.00;8.00;8.00;1.00;4.00
Loop 1156;python3.9;structmember.c:88-88,descrobject.c:77-77,descrobject.c:163-163,descrobject.c:167-168,descrobject.c:175-175,typeobject.c:1432-1432;member_get;Outermost;0.06;0.06;0.08;1.00;1.00;42.67;2.40;1;0.00;7.81;6.00;6.00;6.00;0.14;2.50
Loop 871;python3.9;objimpl.h:69-69,object.c:1824-1824,obmalloc.c:572-572,obmalloc.c:1646-1647,object.h:133-143,object.h:408-408,longobject.c:266-271;_PyLong_New;Single;0.06;0.06;0.08;1.00;1.00;11.07;2.56;1;0.00;9.53;6.40;6.40;6.40;0.58;2.50
Loop 2899;python3.9;context.c:210-223,context.c:244-249,object.h:408-408,object.h:487-487;PyContextVar_Get;Innermost;0.06;0.06;0.08;3.10;1.00;7.63;3.10;1;27.27;14.77;6.20;2.00;6.20;0.81;2.00
Loop 1262;python3.9;unicodeobject.c:1702-1702,unicodeobject.c:2698-2698,unicodeobject.c:2701-2703,unicodeobject.c:2709-2715,unicodeobject.c:2719-2722,unicodeobject.c:2725-2727,unicodeobject.c:2740-2741,unicodeobject.c:2744-2746,unicodeobject.c:2750-2750,unicodeobject.c:2954-2954,unicodeobject.c:3052-3052,unicodeobject.c:3070-3070,unicodeobject.c:5182-5182,unicodeobject.c:14082-14092,unicodeobject.c:14095-14095,unicodeobject.c:14100-14100,object.c:2205-2205,object.c:2209-2209,object.h:408-408,object.h:422-422;PyUnicode_FromFormatV;Outermost;0.06;0.06;0.07;1.00;1.00;28.18;2.14;1;0.00;8.96;49.20;49.20;49.20;1.75;23.00
Loop 999;python3.9;object.h:408-408,object.h:422-422,dictobject.c:2534-2550,dictobject.c:2567-2570;dict_merge;Innermost;0.06;0.06;0.07;1.00;1.00;11.28;2.11;1;0.00;12.08;7.40;7.40;7.40;0.66;3.50
Loop 797;python3.9;dictobject.c:893-894,dictobject.c:901-902,dictobject.c:909-909;lookdict_unicode_nodummy;Outermost;0.06;0.06;0.07;1.00;1.00;11.08;4.50;1;0.00;10.71;4.50;4.50;4.50;0.41;1.00
Loop 877;python3.9;dictobject.c:346-346,dictobject.c:789-789,dictobject.c:793-796,dictobject.c:800-800;lookdict;InBetween;0.05;0.05;0.07;1.00;1.00;8.00;1.30;1;0.00;12.50;2.60;2.60;2.60;0.33;2.00
Loop 826;python3.9;object.c:775-779,dictobject.c:344-350,dictobject.c:782-785,dictobject.c:797-797,dictobject.c:811-811,dictobject.c:922-922,dictobject.c:925-925,dictobject.c:930-933,dictobject.c:938-938,dictobject.c:942-942,dictobject.c:945-947,dictobject.c:950-951,dictobject.c:1471-1471,dictobject.c:1476-1480;PyDict_GetItemWithError;Outermost;0.05;0.05;0.07;1.00;1.00;12.86;2.43;1;0.00;12.06;29.20;29.20;29.20;2.27;12.00
Loop 2453;python3.9;longobject.c:695-698;PyLong_AsUnsignedLong;Single;0.05;0.05;0.07;1.00;1.00;14.77;1.00;1;0.00;9.38;4.00;4.00;4.00;0.27;4.00
Loop 1899;python3.9;unicodeobject.c:11523-11523,object.c:745-749,setobject.c:70-94,object.h:408-408,object.h:422-422,object.h:430-430;PySet_Contains;Innermost;0.04;0.05;0.06;1.00;1.00;9.91;2.14;20;0.00;11.28;18.20;18.20;18.20;1.84;8.50
Loop 1283;python3.9;errors.c:282-282,errors.c:301-302,object.h:628-630,typeobject.c:1417-1417,typeobject.c:1425-1426,typeobject.c:1431-1433;PyErr_ExceptionMatches;InBetween;0.04;0.05;0.06;1.00;1.00;23.83;1.46;1;0.00;9.94;8.75;8.75;8.75;0.37;6.00
Loop 1038;python3.9;pycore_pystate.h:55-55,cellobject.c:11-14,ceval.c:4278-4286,ceval.c:4293-4293,object.h:408-408,object.h:422-422,object.h:487-487,object.h:496-496,pycore_object.h:39-39,pycore_object.h:46-51;_PyEval_EvalCode;Single;0.04;0.04;0.05;3.00;1.00;9.31;3.84;6;6.25;12.89;19.20;6.40;19.20;2.06;5.00
Loop 1160;python3.9;pycore_pystate.h:55-55,gcmodule.c:1442-1442,gcmodule.c:2285-2287,objimpl.h:69-69,descrobject.c:154-154,object.c:1824-1824,methodobject.c:107-113,object.h:133-133,object.h:138-138,object.h:408-409,pycore_object.h:46-51;method_get;Outermost;0.04;0.04;0.05;4.70;1.00;6.20;6.27;1;5.26;10.61;9.40;2.00;9.40;1.52;1.50
Loop 836;python3.9;dictobject.c:377-382,dictobject.c:1040-1040,dictobject.c:1074-1105,dictobject.c:1132-1132;insertdict;Single;0.04;0.04;0.05;1.00;1.00;10.67;4.00;1;0.00;12.05;14.00;14.00;14.00;1.31;3.50
Loop 833;python3.9;pycore_pystate.h:55-55,gcmodule.c:1394-1396,gcmodule.c:1401-1401,gcmodule.c:1442-1442,gcmodule.c:2278-2280,gcmodule.c:2283-2287,objimpl.h:69-69,objimpl.h:84-84,object.c:1824-1824,string3.h:85-85,object.h:133-133,object.h:138-138,object.h:143-143,object.h:408-408,typeobject.c:1061-1061,typeobject.c:1068-1068,typeobject.c:1072-1072,pycore_object.h:39-39,pycore_object.h:46-51;PyType_GenericAlloc;Outermost;0.04;0.04;0.05;2.55;1.00;12.80;2.55;1;5.26;9.95;14.00;5.50;14.00;1.09;5.50
Loop 1969;python3.9;pycore_pystate.h:55-55,tupleobject.c:655-656,tupleobject.c:660-660,tupleobject.c:666-666,object.c:663-668,object.c:672-674,object.c:678-680,object.c:714-714,object.c:725-725,object.c:738-738,object.c:746-748,object.h:128-128,object.h:408-408,object.h:422-422,object.h:628-628,longobject.c:3060-3066,longobject.c:3079-3079,pycore_ceval.h:73-73,pycore_ceval.h:83-83,pycore_ceval.h:94-94,typeobject.c:1425-1426,typeobject.c:1431-1432;tuplerichcompare;Outermost;0.04;0.04;0.05;1.00;1.00;19.06;2.11;215;0.00;10.70;33.80;33.80;33.80;1.77;16.00
Loop 852;python3.9;object.c:2205-2209,object.h:422-422,object.h:496-496,listobject.c:342-345;list_dealloc;Single;0.04;0.04;0.05;1.00;NA;NA;1.30;3;0.00;12.50;1.73;1.73;NA;NA;1.33
Loop 790;python3.9;eq.h:17-21,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:849-857,dictobject.c:863-864;PyDict_SetDefault;Innermost;0.04;0.04;0.05;1.00;1.00;12.20;1.37;1;0.00;10.66;8.20;8.20;8.20;0.67;6.00
Loop 1272;python3.9;unicodeobject.c:13914-13924,unicodeobject.c:13930-13930,unicodeobject.c:14004-14011,unicodeobject.c:14018-14018,unicodeobject.c:14030-14033,object.h:422-422,object.h:430-430;_PyUnicodeWriter_PrepareInternal;Single;0.04;0.04;0.05;1.00;1.00;12.80;2.50;1;0.00;7.91;15.00;15.00;15.00;1.17;6.00
Loop 936;python3.9;objimpl.h:69-69,object.c:1824-1824,obmalloc.c:572-572,obmalloc.c:1646-1647,object.h:133-143,object.h:408-409,longobject.c:330-330,longobject.c:369-369;PyLong_FromLong;Single;0.04;0.04;0.05;1.00;1.00;9.39;3.30;1;0.00;8.77;6.60;6.60;6.60;0.70;2.00
Loop 858;python3.9;typeobject.c:1412-1417,typeobject.c:1434-1434,typeobject.c:1441-1441;PyType_IsSubtype;Single;0.04;0.04;0.05;1.00;1.00;14.22;2.40;1;0.00;9.38;3.60;3.60;3.60;0.25;1.50
Loop 948;python3.9;eq.h:17-24,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:890-906;find_name_in_mro;Innermost;0.04;0.04;0.05;1.00;1.00;12.73;2.21;21;0.00;11.06;16.60;16.60;16.60;1.30;7.50
Loop 1166;python3.9;abstract.h:73-74,abstract.h:114-119,string3.h:52-52,call.c:787-788,call.c:794-795,call.c:798-798;object_vacall;Outermost;0.04;0.04;0.05;1.00;1.00;10.87;3.28;1;0.00;11.26;34.40;34.40;34.40;3.16;10.50
Loop 874;python3.9;object.c:745-749,object.h:408-408,object.h:422-422,object.h:430-430,dictobject.c:344-344,dictobject.c:350-350,dictobject.c:781-785,dictobject.c:789-789,dictobject.c:805-805;lookdict;Outermost;0.04;0.04;0.05;1.00;1.00;7.24;3.44;20;0.00;12.15;17.20;17.20;17.20;2.38;5.00
Loop 1398;python3.9;typeobject.c:1266-1267;subtype_dealloc;Single;0.04;0.04;0.05;1.00;NA;NA;1.00;1;NA;NA;2.00;2.00;NA;NA;2.00
Loop 1305;python3.9;object.h:408-408,call.c:995-1000,dictobject.c:1789-1793,dictobject.c:1801-1803;_PyStack_UnpackDict;Innermost;0.04;0.04;0.05;1.00;1.00;8.00;2.64;1;0.00;12.50;6.60;6.60;6.60;0.82;2.50
Loop 1002;python3.9;object.c:2205-2209,object.h:422-422,object.h:496-496,dictobject.c:2017-2018;dict_dealloc;Single;0.04;0.04;0.05;1.00;1.00;8.00;1.35;3;0.00;12.50;1.80;1.80;1.80;0.23;1.33
Loop 2052;python3.9;unicodeobject.c:2306-2316,pycore_pystate.h:55-55,abstract.h:62-62,abstract.h:73-74,abstract.h:114-118,string3.h:52-52,pycore_pyerrors.h:14-14,call.c:38-39,call.c:53-57,call.c:359-374,call.c:380-388,call.c:394-396,object.h:408-408,object.h:422-422,object.h:430-430,typeobject.c:1478-1482,typeobject.c:1489-1490,typeobject.c:1519-1520,typeobject.c:1557-1557,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309,pycore_object.h:105-105;vectorcall_method;Single;0.04;0.04;0.05;1.00;1.00;23.99;2.74;1;0.00;11.04;50.60;50.60;50.60;2.11;18.50
Loop 1335;python3.9;object.c:775-779,dictobject.c:344-344,dictobject.c:350-350,dictobject.c:782-785,dictobject.c:789-789,dictobject.c:811-811,dictobject.c:3294-3294,dictobject.c:3297-3301;PyDict_Contains;Outermost;0.04;0.04;0.05;1.00;1.00;13.33;2.15;1;0.00;12.15;11.80;11.80;11.80;0.89;5.50
Loop 1181;python3.9;methodobject.c:430-433,pycore_ceval.h:94-94;cfunction_vectorcall_FASTCALL;Single;0.04;0.04;0.05;1.00;1.00;15.10;3.75;1;0.00;10.94;3.00;3.00;3.00;0.20;0.80
Loop 1036;python3.9;ceval.c:4188-4188,ceval.c:4195-4198,ceval.c:4339-4349,object.c:2205-2209,object.h:422-422;_PyEval_EvalCode;Single;0.04;0.04;0.05;1.00;1.00;13.62;4.80;1;0.00;10.63;9.60;9.60;9.60;0.70;2.00
Loop 906;python3.9;gcmodule.c:108-108,gcmodule.c:413-413;deduce_unreachable;Single;0.03;0.03;0.04;1.00;1.00;13.33;1.00;1;0.00;10.04;2.00;2.00;2.00;0.15;2.00
Loop 1303;python3.9;unicodeobject.c:2306-2316,object.h:408-409,object.h:422-422,object.h:430-430,typeobject.c:1478-1490,typeobject.c:1498-1498,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309;lookup_maybe_method;Single;0.03;0.03;0.04;1.00;1.00;18.52;2.42;1;0.00;9.11;23.00;23.00;23.00;1.24;9.50
Loop 1067;python3.9;ceval.c:5084-5085,object.h:422-422;_PyEval_EvalFrameDefault;Innermost;0.03;0.03;0.04;1.00;1.00;8.00;1.50;1;0.00;12.50;1.50;1.50;1.50;0.19;1.00
Loop 1105;python3.9;getargs.c:282-283,getargs.c:314-317;vgetargs1_impl;Innermost;0.03;0.03;0.04;1.00;1.00;47.54;1.13;3;0.00;4.69;4.33;4.33;4.33;0.09;3.83
Loop 195;python3.9;textio.c:420-420,textio.c:428-443;_PyIncrementalNewlineDecoder_decode.cold;Single;0.03;0.03;0.04;1.00;1.00;36.57;1.83;27;0.00;5.51;11.00;11.00;11.00;0.30;6.00
Loop 1044;python3.9;ceval.c:4174-4180,object.c:738-738,object.c:745-749,object.h:422-422;_PyEval_EvalCode;Innermost;0.03;0.03;0.03;1.00;1.00;12.71;1.77;1;0.00;11.11;6.20;6.20;6.20;0.49;3.50
Loop 1330;python3.9;dictobject.c:2143-2143;dict_subscript;Single;0.03;0.03;0.03;1.00;NA;NA;1.67;1;NA;NA;1.00;1.00;NA;NA;0.60
Loop 3245;python3.9;object.h:408-408,object.h:422-422,object.h:430-430,listobject.c:2601-2606,listobject.c:2612-2612;list_remove;Single;0.03;0.03;0.03;1.00;1.00;13.64;2.25;2;0.00;11.20;4.50;4.50;4.50;0.33;2.00
Loop 1949;python3.9;rangeobject.c:886-891,rangeobject.c:903-906,rangeobject.c:1073-1074,rangeobject.c:1077-1078,rangeobject.c:1082-1083,rangeobject.c:1088-1088,rangeobject.c:1092-1094,rangeobject.c:1098-1098,rangeobject.c:1105-1106,rangeobject.c:1109-1112,rangeobject.c:1117-1118,objimpl.h:69-69,object.c:165-166,object.c:1824-1824,obmalloc.c:99-99,obmalloc.c:572-572,obmalloc.c:683-685,obmalloc.c:1434-1439,obmalloc.c:1445-1447,obmalloc.c:1604-1604,obmalloc.c:1608-1609,obmalloc.c:1612-1612,obmalloc.c:1617-1618,obmalloc.c:1621-1621,obmalloc.c:1630-1630,obmalloc.c:1641-1641,obmalloc.c:1646-1647,object.h:133-133,object.h:138-138,object.h:408-408,object.h:422-422,object.h:430-430,object.h:628-628,longobject.c:510-510,longobject.c:515-515,longobject.c:519-520,longobject.c:526-530,longobject.c:536-536,longobject.c:539-539,longobject.c:542-543,longobject.c:547-547,longobject.c:556-559,longobject.c:568-568,longobject.c:585-585;range_iter;Outermost;0.03;0.03;0.03;2.11;1.00;7.90;2.11;1;2.04;11.34;79.00;37.50;79.00;10.00;37.50
Loop 1604;python3.9;unicodeobject.c:11523-11523,object.c:745-749,setobject.c:70-94,object.h:408-408,object.h:422-422,object.h:430-430;set_contains;Innermost;0.03;0.03;0.03;1.00;1.00;10.02;2.16;20;0.00;11.20;18.40;18.40;18.40;1.84;8.50
Loop 1339;python3.9;;func_descr_get;Outermost;0.03;0.03;0.03;5.00;1.00;6.34;6.67;1;5.56;11.20;10.00;2.00;10.00;1.58;1.50
Loop 830;python3.9;dictobject.c:350-350,dictobject.c:938-940,dictobject.c:947-947,dictobject.c:954-954;lookdict_split;Outermost;0.03;0.03;0.03;1.00;1.00;14.63;3.20;1;0.00;9.38;3.20;3.20;3.20;0.22;1.00
Loop 1519;python3.9;sliceobject.c:329-335,object.h:422-422,object.h:430-430;slice_dealloc;Single;0.02;0.03;0.03;1.00;1.00;8.00;2.80;1;0.00;12.50;7.00;7.00;7.00;0.88;2.50
